log.prior	log.likelihood	log.likelihood.test.set
-8.230368907798157352e+02 0.000000000000000000e+00 -3.095285674590097358e+01
-8.424732751955990580e+02 0.000000000000000000e+00 -2.917640947685517006e+01
-8.447184214173928467e+02 0.000000000000000000e+00 -2.883679990989675446e+01
-8.300851386601491413e+02 0.000000000000000000e+00 -2.917370411419429388e+01
-8.457877953257625450e+02 0.000000000000000000e+00 -2.960530335004682456e+01
-8.471019669703882755e+02 0.000000000000000000e+00 -3.015916377725329767e+01
-8.535091753039563400e+02 0.000000000000000000e+00 -2.992653127705742122e+01
-8.588838258671985386e+02 0.000000000000000000e+00 -2.974218696712192411e+01
-8.742397558744562502e+02 0.000000000000000000e+00 -3.027112278471149409e+01
-8.904063923862502179e+02 0.000000000000000000e+00 -3.112369757268467652e+01
-8.932179190431960478e+02 0.000000000000000000e+00 -3.093592234875481495e+01
-9.007599593803913649e+02 0.000000000000000000e+00 -2.997827348833797600e+01
-9.119536611231749248e+02 0.000000000000000000e+00 -3.042549320602759622e+01
-9.014135453026916593e+02 0.000000000000000000e+00 -2.905687757358305134e+01
-9.077827507329996024e+02 0.000000000000000000e+00 -2.858445619877538491e+01
-8.740860848160673413e+02 0.000000000000000000e+00 -2.971085745173060388e+01
-8.479200593601036644e+02 0.000000000000000000e+00 -2.974048218204615068e+01
-8.638085455036457461e+02 0.000000000000000000e+00 -3.028765629927112002e+01
-8.759393378198017217e+02 0.000000000000000000e+00 -3.016894755742220013e+01
-8.939220363508347873e+02 0.000000000000000000e+00 -3.058426562374407354e+01
-8.688638294428590143e+02 0.000000000000000000e+00 -3.070563424546999443e+01
-8.701752495886848919e+02 0.000000000000000000e+00 -3.035587671600573856e+01
-8.707237663182668257e+02 0.000000000000000000e+00 -3.007932096467216354e+01
-8.560843871942652186e+02 0.000000000000000000e+00 -2.992121703967016799e+01
-8.650200417500914227e+02 0.000000000000000000e+00 -2.876869915055659988e+01
-8.687965086088188400e+02 0.000000000000000000e+00 -2.970262055463923900e+01
-8.676678823884802796e+02 0.000000000000000000e+00 -3.010473588419583280e+01
-8.471985120495082811e+02 0.000000000000000000e+00 -2.960692488724021132e+01
-8.572228267301256892e+02 0.000000000000000000e+00 -2.964144398106314782e+01
-8.902444178126113457e+02 0.000000000000000000e+00 -2.920549493625149751e+01
-8.814160517391958365e+02 0.000000000000000000e+00 -2.989711550373110072e+01
-8.826575763125547383e+02 0.000000000000000000e+00 -3.003835145080456925e+01
-8.561912945339934140e+02 0.000000000000000000e+00 -2.958463639487902697e+01
-9.028066259350953260e+02 0.000000000000000000e+00 -2.954141224195861071e+01
-9.063433097929848827e+02 0.000000000000000000e+00 -2.864116711033665297e+01
-9.089653172252899367e+02 0.000000000000000000e+00 -2.872193767423961219e+01
-9.162116487729950904e+02 0.000000000000000000e+00 -2.988344152585023039e+01
-9.235263511367595584e+02 0.000000000000000000e+00 -3.071313996424990478e+01
-8.933480468328680217e+02 0.000000000000000000e+00 -3.027663214219499821e+01
-8.633940690886570337e+02 0.000000000000000000e+00 -3.061956126104536224e+01
-8.631772092346366207e+02 0.000000000000000000e+00 -3.075948233613239324e+01
-8.617226286036220699e+02 0.000000000000000000e+00 -3.074906240699779403e+01
-8.398223129931355970e+02 0.000000000000000000e+00 -2.972443663707463202e+01
-8.583138968568075597e+02 0.000000000000000000e+00 -3.066830072112905725e+01
-8.670685055792619096e+02 0.000000000000000000e+00 -3.018356135258095208e+01
-8.538863113462219872e+02 0.000000000000000000e+00 -3.126670579010605877e+01
-8.434579550028070116e+02 0.000000000000000000e+00 -2.996585526928329557e+01
-8.303517139679560159e+02 0.000000000000000000e+00 -3.029828953806482161e+01
-8.409441275619492444e+02 0.000000000000000000e+00 -2.973616068151838476e+01
-8.422558103825440412e+02 0.000000000000000000e+00 -2.949827670003760716e+01
-8.409766146551060046e+02 0.000000000000000000e+00 -3.027429637269651153e+01
-8.559689780172004703e+02 0.000000000000000000e+00 -2.984361865057837804e+01
-8.559107790188335230e+02 0.000000000000000000e+00 -3.061053360043447924e+01
-8.829632555050758356e+02 0.000000000000000000e+00 -3.036088000540298992e+01
-8.620877474603606743e+02 0.000000000000000000e+00 -3.041265389314983736e+01
-8.627968943194127860e+02 0.000000000000000000e+00 -3.077860025549277623e+01
-8.609478056807280382e+02 0.000000000000000000e+00 -2.991049754780942749e+01
-8.670892064237810928e+02 0.000000000000000000e+00 -3.066063799059149630e+01
-8.419590298847936083e+02 0.000000000000000000e+00 -3.124393819197489108e+01
-8.433245742743428082e+02 0.000000000000000000e+00 -3.101299425635482976e+01
-8.766521496348225355e+02 0.000000000000000000e+00 -3.077441528116592906e+01
-8.907016020887147079e+02 0.000000000000000000e+00 -3.083956019104984136e+01
